mesa,table 
esta,this
ordenador,computer
teclado,keyboard 
raton,mouse 
pizarra,blackboard 
hola,hi 
tenis,tennis 
pantalon,trousers 
camiseta,tshirt 
felpudo,doormat 
radio,radio 
la,the 
lapiz,pencil
boligrafo,pen 
mando,send 
caja,box 
cable,cable 
internet,interent 
electricidad,electricity 
aire,air 
viento,wind 
lluvia,rain 
nubes,cold 
gafas,glasses 
negro,black 
blanco,white 
amarillo,yellow 
azul,blue 
marron,maroon 
verde,green 
morado,purple 
soporte,suport 
compañero,parthner 
amigo,friend 
madre,mom 
padre,dad 
novia,girlfriend 
abuela,grandmom 
abuelo,grandFather 
luz,light 
sol,sun 
luna,mon 
agua,wather 
frio,cold 
calor,hot 
velocidad,speed 
coche,car 
frenos,brakes 
calvo,bald
aa,asd
